Year,경지규모별,Value
2009,,17008
2009,범주01_0.5ha 미만,1972
2009,범주02_0.5~1.0ha,6675
2009,범주03_1.0~1.5ha,8760
2009,범주04_1.5~2.0ha,12471
2009,범주05_2.0~3.0ha,14750
2009,범주06_3.0~5.0ha,17224
2009,범주07_5.0~7.0ha,17619
2009,범주08_7.0~10.0ha,31687
2009,범주09_10.0ha 이상,41910
2010,,18091
2010,범주01_0.5ha 미만,2531
2010,범주02_0.5~1.0ha,8215
2010,범주03_1.0~1.5ha,9689
2010,범주04_1.5~2.0ha,9728
2010,범주05_2.0~3.0ha,11936
2010,범주06_3.0~5.0ha,20049
2010,범주07_5.0~7.0ha,20265
2010,범주08_7.0~10.0ha,37435
2010,범주09_10.0ha 이상,42964
2011,,16974
2011,범주01_0.5ha 미만,2098
2011,범주02_0.5~1.0ha,4470
2011,범주03_1.0~1.5ha,10538
2011,범주04_1.5~2.0ha,10404
2011,범주05_2.0~3.0ha,12650
2011,범주06_3.0~5.0ha,15357
2011,범주07_5.0~7.0ha,11256
2011,범주08_7.0~10.0ha,40041
2011,범주09_10.0ha 이상,45944
2012,,17067
2012,범주01_0.5ha 미만,1469
2012,범주02_0.5~1.0ha,4725
2012,범주03_1.0~1.5ha,10828
2012,범주04_1.5~2.0ha,10448
2012,범주05_2.0~3.0ha,12382
2012,범주06_3.0~5.0ha,18745
2012,범주07_5.0~7.0ha,21418
2012,범주08_7.0~10.0ha,41390
2012,범주09_10.0ha 이상,32198
2013,,16916
2013,범주01_0.5ha 미만,2110
2013,범주02_0.5~1.0ha,4680
2013,범주03_1.0~1.5ha,12244
2013,범주04_1.5~2.0ha,17865
2013,범주05_2.0~3.0ha,16373
2013,범주06_3.0~5.0ha,20095
2013,범주07_5.0~7.0ha,28628
2013,범주08_7.0~10.0ha,21406
2013,범주09_10.0ha 이상,28840
2014,,18210
2014,범주01_0.5ha 미만,2562
2014,범주02_0.5~1.0ha,6435
2014,범주03_1.0~1.5ha,13035
2014,범주04_1.5~2.0ha,13588
2014,범주05_2.0~3.0ha,14497
2014,범주06_3.0~5.0ha,20302
2014,범주07_5.0~7.0ha,27697
2014,범주08_7.0~10.0ha,33262
2014,범주09_10.0ha 이상,32508
2015,,21947
2015,범주01_0.5ha 미만,3034
2015,범주02_0.5~1.0ha,7280
2015,범주03_1.0~1.5ha,9494
2015,범주04_1.5~2.0ha,13794
2015,범주05_2.0~3.0ha,20183
2015,범주06_3.0~5.0ha,22052
2015,범주07_5.0~7.0ha,35205
2015,범주08_7.0~10.0ha,43525
2015,범주09_10.0ha 이상,42949
2016,,19772
2016,범주01_0.5ha 미만,2352
2016,범주02_0.5~1.0ha,6443
2016,범주03_1.0~1.5ha,11396
2016,범주04_1.5~2.0ha,10331
2016,범주05_2.0~3.0ha,18458
2016,범주06_3.0~5.0ha,23599
2016,범주07_5.0~7.0ha,24814
2016,범주08_7.0~10.0ha,43572
2016,범주09_10.0ha 이상,36982
2017,,22272
2017,범주01_0.5ha 미만,1367
2017,범주02_0.5~1.0ha,6493
2017,범주03_1.0~1.5ha,11247
2017,범주04_1.5~2.0ha,11365
2017,범주05_2.0~3.0ha,16405
2017,범주06_3.0~5.0ha,24640
2017,범주07_5.0~7.0ha,32908
2017,범주08_7.0~10.0ha,50481
2017,범주09_10.0ha 이상,45535
2018,,30540
2018,범주01_0.5ha 미만,2994
2018,범주02_0.5~1.0ha,7061
2018,범주03_1.0~1.5ha,10820
2018,범주04_1.5~2.0ha,20258
2018,범주05_2.0~3.0ha,24499
2018,범주06_3.0~5.0ha,36134
2018,범주07_5.0~7.0ha,34206
2018,범주08_7.0~10.0ha,52235
2018,범주09_10.0ha 이상,86648
2019,,23546
2019,범주01_0.5ha 미만,2022
2019,범주02_0.5~1.0ha,5574
2019,범주03_1.0~1.5ha,9450
2019,범주04_1.5~2.0ha,14928
2019,범주05_2.0~3.0ha,19354
2019,범주06_3.0~5.0ha,23335
2019,범주07_5.0~7.0ha,37016
2019,범주08_7.0~10.0ha,34741
2019,범주09_10.0ha 이상,65494
