Year,Units,Type of product,Value
2011,Tonnes per capita,WCH,0.04992
2011,Tonnes per capita,WOD,0.18084
2012,Tonnes per capita,BIM,1.55586
2012,Tonnes per capita,COL,2.537
2012,Tonnes per capita,CPR,0.11243
2012,Tonnes per capita,CRO,0.88676
2012,Tonnes per capita,FEO,1.2144
2012,Tonnes per capita,FOF,5.423
2012,Tonnes per capita,GAS,0.74007
2012,Tonnes per capita,GBO,0.32886
2012,Tonnes per capita,MEO,1.41586
2012,Tonnes per capita,NFO,1.2144
2012,Tonnes per capita,NMA,0.22825
2012,Tonnes per capita,NMC,3.31667
2012,Tonnes per capita,NMM,3.35671
2012,Tonnes per capita,PET,2.14593
2012,Tonnes per capita,RAW,11.75143
2012,Tonnes per capita,WCH,0.04534
2012,Tonnes per capita,WOD,0.16533
2013,Tonnes per capita,BIM,1.54801
2013,Tonnes per capita,COL,2.56504
2013,Tonnes per capita,CPR,0.11745
2013,Tonnes per capita,CRO,0.89999
2013,Tonnes per capita,FEO,1.14815
2013,Tonnes per capita,FOF,5.50926
2013,Tonnes per capita,GAS,0.81932
2013,Tonnes per capita,GBO,0.31566
2013,Tonnes per capita,MEO,1.36536
2013,Tonnes per capita,NFO,1.14815
2013,Tonnes per capita,NMA,0.245
2013,Tonnes per capita,NMC,3.1153
2013,Tonnes per capita,NMM,3.16565
2013,Tonnes per capita,PET,2.12491
2013,Tonnes per capita,RAW,11.58828
2013,Tonnes per capita,WCH,0.04245
2013,Tonnes per capita,WOD,0.15129
2014,Tonnes per capita,BIM,1.53195
2014,Tonnes per capita,COL,2.64332
2014,Tonnes per capita,CPR,0.11587
2014,Tonnes per capita,CRO,0.91721
2014,Tonnes per capita,FEO,1.32846
2014,Tonnes per capita,FOF,5.51559
2014,Tonnes per capita,GAS,0.75173
2014,Tonnes per capita,GBO,0.30221
2014,Tonnes per capita,MEO,1.55141
2014,Tonnes per capita,NFO,1.32846
2014,Tonnes per capita,NMA,0.24112
2014,Tonnes per capita,NMC,3.06544
2014,Tonnes per capita,NMM,3.10512
2014,Tonnes per capita,PET,2.12055
2014,Tonnes per capita,RAW,11.70408
2014,Tonnes per capita,WCH,0.04588
2014,Tonnes per capita,WOD,0.14922
2015,Tonnes per capita,BIM,1.5306
2015,Tonnes per capita,COL,2.71253
2015,Tonnes per capita,CPR,0.11333
2015,Tonnes per capita,CRO,0.915
2015,Tonnes per capita,FEO,1.347
2015,Tonnes per capita,FOF,5.67288
2015,Tonnes per capita,GAS,0.66095
2015,Tonnes per capita,GBO,0.30472
2015,Tonnes per capita,MEO,1.57592
2015,Tonnes per capita,NFO,1.347
2015,Tonnes per capita,NMA,0.24073
2015,Tonnes per capita,NMC,2.64887
2015,Tonnes per capita,NMM,2.68194
2015,Tonnes per capita,PET,2.2994
2015,Tonnes per capita,RAW,11.46134
2015,Tonnes per capita,WCH,0.04544
2015,Tonnes per capita,WOD,0.15093
2016,Tonnes per capita,BIM,1.52772
2016,Tonnes per capita,COL,2.80713
2016,Tonnes per capita,CPR,0.11083
2016,Tonnes per capita,CRO,0.91261
2016,Tonnes per capita,FEO,1.36565
2016,Tonnes per capita,FOF,5.79798
