Year,서비스유형별,동･읍면부별,성별,가구소득별,Value
2017,인허가 서비스,,,100~200만원 미만,50.2
2018,인허가 서비스,,,100~200만원 미만,63.1
2019,인허가 서비스,,,100~200만원 미만,21.1
2016,인허가 서비스,,,200~300만원 미만,44.8
2017,인허가 서비스,,,200~300만원 미만,48.5
2018,인허가 서비스,,,200~300만원 미만,50.1
2019,인허가 서비스,,,200~300만원 미만,52.2
2016,인허가 서비스,,,300~400만원 미만,50.0
2017,인허가 서비스,,,300~400만원 미만,58.2
2018,인허가 서비스,,,300~400만원 미만,58.7
2019,인허가 서비스,,,300~400만원 미만,65.3
2016,인허가 서비스,,,400~500만원 미만,49.5
2017,인허가 서비스,,,400~500만원 미만,71.9
2018,인허가 서비스,,,400~500만원 미만,64.2
2019,인허가 서비스,,,400~500만원 미만,63.2
2016,인허가 서비스,,,500~600만원 미만,66.5
2017,인허가 서비스,,,500~600만원 미만,64.0
2018,인허가 서비스,,,500~600만원 미만,72.2
2019,인허가 서비스,,,500~600만원 미만,49.6
2016,인허가 서비스,,,600만원 이상,48.0
2017,인허가 서비스,,,600만원 이상,58.9
2018,인허가 서비스,,,600만원 이상,70.2
2019,인허가 서비스,,,600만원 이상,55.8
2016,인터넷 민원발급,,,,70.7
2017,인터넷 민원발급,,,,77.3
2018,인터넷 민원발급,,,,82.2
2019,인터넷 민원발급,,,,78.8
2016,인터넷 민원발급,도시(동부),,,70.9
2017,인터넷 민원발급,도시(동부),,,77.4
2018,인터넷 민원발급,도시(동부),,,82.5
2019,인터넷 민원발급,도시(동부),,,79.1
2016,인터넷 민원발급,농어촌(읍면부),,,68.9
2017,인터넷 민원발급,농어촌(읍면부),,,76.3
2018,인터넷 민원발급,농어촌(읍면부),,,80.0
2019,인터넷 민원발급,농어촌(읍면부),,,77.3
2016,인터넷 민원발급,,남자,,68.5
2017,인터넷 민원발급,,남자,,78.8
2018,인터넷 민원발급,,남자,,81.1
2019,인터넷 민원발급,,남자,,80.5
2016,인터넷 민원발급,,여자,,73.2
2017,인터넷 민원발급,,여자,,75.3
2018,인터넷 민원발급,,여자,,83.7
2019,인터넷 민원발급,,여자,,76.8
2016,인터넷 민원발급,,,100만원 미만,51.6
2017,인터넷 민원발급,,,100만원 미만,45.8
2018,인터넷 민원발급,,,100만원 미만,69.0
2019,인터넷 민원발급,,,100만원 미만,87.3
2016,인터넷 민원발급,,,100~200만원 미만,54.3
2017,인터넷 민원발급,,,100~200만원 미만,72.3
2018,인터넷 민원발급,,,100~200만원 미만,76.3
2019,인터넷 민원발급,,,100~200만원 미만,71.2
2016,인터넷 민원발급,,,200~300만원 미만,69.1
2017,인터넷 민원발급,,,200~300만원 미만,78.4
2018,인터넷 민원발급,,,200~300만원 미만,78.9
2019,인터넷 민원발급,,,200~300만원 미만,78.0
2016,인터넷 민원발급,,,300~400만원 미만,71.5
2017,인터넷 민원발급,,,300~400만원 미만,78.0
2018,인터넷 민원발급,,,300~400만원 미만,80.9
2019,인터넷 민원발급,,,300~400만원 미만,80.1
2016,인터넷 민원발급,,,400~500만원 미만,74.0
2017,인터넷 민원발급,,,400~500만원 미만,81.9
2018,인터넷 민원발급,,,400~500만원 미만,83.8
2019,인터넷 민원발급,,,400~500만원 미만,81.0
2016,인터넷 민원발급,,,500~600만원 미만,75.8
2017,인터넷 민원발급,,,500~600만원 미만,77.0
2018,인터넷 민원발급,,,500~600만원 미만,83.3
2019,인터넷 민원발급,,,500~600만원 미만,75.8
2016,인터넷 민원발급,,,600만원 이상,71.4
2017,인터넷 민원발급,,,600만원 이상,77.0
2018,인터넷 민원발급,,,600만원 이상,85.7
2019,인터넷 민원발급,,,600만원 이상,79.8
2016,세무 서비스,,,,59.7
2017,세무 서비스,,,,71.4
2018,세무 서비스,,,,68.9
2019,세무 서비스,,,,68.1
2016,세무 서비스,도시(동부),,,59.0
2017,세무 서비스,도시(동부),,,71.9
2018,세무 서비스,도시(동부),,,69.8
2019,세무 서비스,도시(동부),,,67.4
2016,세무 서비스,농어촌(읍면부),,,64.8
2017,세무 서비스,농어촌(읍면부),,,69.0
2018,세무 서비스,농어촌(읍면부),,,63.4
2019,세무 서비스,농어촌(읍면부),,,72.8
2016,세무 서비스,,남자,,60.1
2017,세무 서비스,,남자,,71.2
2018,세무 서비스,,남자,,69.3
2019,세무 서비스,,남자,,66.0
2016,세무 서비스,,여자,,59.1
2017,세무 서비스,,여자,,71.9
2018,세무 서비스,,여자,,68.3
2019,세무 서비스,,여자,,71.7
2016,세무 서비스,,,100만원 미만,34.8
2017,세무 서비스,,,100만원 미만,23.4
2018,세무 서비스,,,100만원 미만,61.5
2019,세무 서비스,,,100만원 미만,68.9
2016,세무 서비스,,,100~200만원 미만,35.4
2017,세무 서비스,,,100~200만원 미만,61.4
2018,세무 서비스,,,100~200만원 미만,60.3
2019,세무 서비스,,,100~200만원 미만,60.5
2016,세무 서비스,,,200~300만원 미만,56.3
2017,세무 서비스,,,200~300만원 미만,75.3
2018,세무 서비스,,,200~300만원 미만,64.1
2019,세무 서비스,,,200~300만원 미만,68.2
2016,세무 서비스,,,300~400만원 미만,58.6
2017,세무 서비스,,,300~400만원 미만,69.1
2018,세무 서비스,,,300~400만원 미만,62.0
2019,세무 서비스,,,300~400만원 미만,68.7
2016,세무 서비스,,,400~500만원 미만,62.2
2017,세무 서비스,,,400~500만원 미만,75.9
2018,세무 서비스,,,400~500만원 미만,70.8
2019,세무 서비스,,,400~500만원 미만,70.9
2016,세무 서비스,,,500~600만원 미만,74.3
2017,세무 서비스,,,500~600만원 미만,72.4
2018,세무 서비스,,,500~600만원 미만,73.0
