Year,구분,교통수단,단위,Value
2011,국내_화물량,해운,인-kg,980972756
2011,국내_화물량,항공,인-kg,8394805022
2011,국제_승객량,,인,45308145
2011,국제_승객량,해운,인,2659596
2011,국제_승객량,항공,인,42648549
2011,국제_화물량,,인-kg,141186803488
2011,국제_화물량,해운,인-kg,1187633182
2011,국제_화물량,항공,인-kg,139999170306
2012,국내_승객량,,인,29579407763
2012,국내_승객량,철도,인,1149339828
2012,국내_승객량,지하철,인,2410930535
2012,국내_승객량,공로,인,25982998015
2012,국내_승객량,해운,인,14537867
2012,국내_승객량,항공,인,21601518
2012,국내_화물량,,인-kg,429927322729
2012,국내_화물량,철도,인-kg,42492560873
2012,국내_화물량,지하철,인-kg,27586313584
2012,국내_화물량,공로,인-kg,350216945089
2012,국내_화물량,해운,인-kg,921702649
2012,국내_화물량,항공,인-kg,8709800534
2012,국제_승객량,,인,50583316
2012,국제_승객량,해운,인,2880672
2012,국제_승객량,항공,인,47702644
2012,국제_화물량,,인-kg,155187594071
2012,국제_화물량,해운,인-kg,1162562018
2012,국제_화물량,항공,인-kg,154025032053
2013,국내_승객량,,인,30067307788
2013,국내_승객량,철도,인,1224819764
2013,국내_승객량,지하철,인,2476393758
2013,국내_승객량,공로,인,26327678363
2013,국내_승객량,해운,인,16062533
2013,국내_승객량,항공,인,22353370
2013,국내_화물량,,인-kg,438153371059
2013,국내_화물량,철도,인-kg,38531499552
2013,국내_화물량,지하철,인-kg,27821663659
2013,국내_화물량,공로,인-kg,361695504345
2013,국내_화물량,해운,인-kg,1011706059
2013,국내_화물량,항공,인-kg,9092997444
2013,국제_승객량,,인,53724092
2013,국제_승객량,해운,인,2737201
2013,국제_승객량,항공,인,50986891
2013,국제_화물량,,인-kg,163869564223
2013,국제_화물량,항공,인-kg,163869564223
2014,국내_승객량,,인,30507070535
2014,국내_승객량,철도,인,1263471741
2014,국내_승객량,지하철,인,2526166677
2014,국내_승객량,공로,인,26678513445
2014,국내_승객량,해운,인,14271134
2014,국내_승객량,항공,인,24647538
2014,국내_화물량,,인-kg,439048213707
2014,국내_화물량,철도,인-kg,39499629439
2014,국내_화물량,지하철,인-kg,28360352445
2014,국내_화물량,공로,인-kg,360935885788
2014,국내_화물량,해운,인-kg,755788457
2014,국내_화물량,항공,인-kg,9496557578
2014,국제_승객량,,인,59424779
2014,국제_승객량,해운,인,2646020
2014,국제_승객량,항공,인,56778759
2014,국제_화물량,,인-kg,173643425127
2014,국제_화물량,항공,인-kg,173643425127
2015,국내_승객량,,인,31029472434
2015,국내_승객량,철도,인,1269416684
2015,국내_승객량,지하철,인,2522900417
2015,국내_승객량,공로,인,27193794268
2015,국내_승객량,해운,인,15380931
2015,국내_승객량,항공,인,27980134
2015,국내_화물량,,인-kg,464853178101
2015,국내_화물량,철도,인-kg,40343344718
2015,국내_화물량,지하철,인-kg,28027629713
2015,국내_화물량,공로,인-kg,385018129392
2015,국내_화물량,해운,인-kg,757404496
2015,국내_화물량,항공,인-kg,10706669782
2015,국제_승객량,,인,64051422
2015,국제_승객량,해운,인,2617018
2015,국제_승객량,항공,인,61434404
2015,국제_화물량,,인-kg,187736721402
2015,국제_화물량,항공,인-kg,187736721402
2016,국내_승객량,,인,33158710802
2016,국내_승객량,철도,인,1449534105
2016,국내_승객량,지하철,인,3572127000
2016,국내_승객량,공로,인,28090713818
2016,국내_승객량,해운,인,15422957
2016,국내_승객량,항공,인,30912922
2016,국내_화물량,,인-kg,495957991381
2016,국내_화물량,철도,인-kg,49273262134
2016,국내_화물량,지하철,인-kg,43485000000
2016,국내_화물량,공로,인-kg,390540864228
2016,국내_화물량,해운,인-kg,839080084
2016,국내_화물량,항공,인-kg,11819784935
2016,국제_승객량,,인,75777506
2016,국제_승객량,해운,인,2776696
2016,국제_승객량,항공,인,73000810
2016,국제_화물량,,인-kg,212261253909
2016,국제_화물량,항공,인-kg,212261253909
2017,국내_승객량,,인,33336713506
2017,국내_승객량,철도,인,1490319240
2017,국내_승객량,지하철,인,3604711728
2017,국내_승객량,공로,인,28192366422
2017,국내_승객량,해운,인,16909861
2017,국내_승객량,항공,인,32406255
2017,국내_화물량,,인-kg,496319281683
2017,국내_화물량,철도,인-kg,46295448881
2017,국내_화물량,지하철,인-kg,43668948497
2017,국내_화물량,공로,인-kg,393195981635
2017,국내_화물량,해운,인-kg,915668809
2017,국내_화물량,항공,인-kg,12243233861
2017,국제_승객량,,인,79683866
2017,국제_승객량,해운,인,2728147
2017,국제_승객량,항공,인,76955719
2017,국제_화물량,,인-kg,231398037659
2017,국제_화물량,항공,인-kg,231398037659
