Year,시도별,주거유형별,Value
2019,광역시 등,단독주택,30.0
2019,광역시 등,아파트,57.7
2019,광역시 등,연립주택,1.5
2019,광역시 등,다세대주택,6.0
2019,광역시 등,비거주용 건물내주택,1.5
2019,광역시 등,주택이외의 거처,3.3
2019,도지역,,100.0
2019,도지역,단독주택,45.8
2019,도지역,아파트,44.2
2019,도지역,연립주택,2.2
2019,도지역,다세대주택,2.7
2019,도지역,비거주용 건물내주택,1.8
2019,도지역,주택이외의 거처,3.5
