Year,Units,data.Type_of_product,Value
2010,1인당 국내물질소비량(톤),천연가스,0.68616
2010,1인당 국내물질소비량(톤),사료작물,0.28216
2010,1인당 국내물질소비량(톤),금속광석,1.41969
2010,1인당 국내물질소비량(톤),비금속광석,1.23568
2010,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.23441
2010,1인당 국내물질소비량(톤),건설 비금속광물,7.59691
2010,1인당 국내물질소비량(톤),비급속광물,7.67472
2010,1인당 국내물질소비량(톤),석유,2.14173
2010,1인당 국내물질소비량(톤),RAW,15.8829
2010,1인당 국내물질소비량(톤),자연수확,0.04503
2010,1인당 국내물질소비량(톤),나무,0.18258
2011,1인당 국내물질소비량(톤),바이오매스,1.54034
2011,1인당 국내물질소비량(톤),석탄,2.64631
2011,1인당 국내물질소비량(톤),작물잔해,0.1149
2011,1인당 국내물질소비량(톤),작물,0.88031
2011,1인당 국내물질소비량(톤),철광석,1.25183
2011,1인당 국내물질소비량(톤),화석연료,5.45373
2011,1인당 국내물질소비량(톤),천연가스,0.72707
2011,1인당 국내물질소비량(톤),사료작물,0.30422
2011,1인당 국내물질소비량(톤),금속광석,1.44215
2011,1인당 국내물질소비량(톤),비금속광석,1.25183
2011,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.23126
2011,1인당 국내물질소비량(톤),건설 비금속광물,7.36645
2011,1인당 국내물질소비량(톤),비급속광물,7.38805
2011,1인당 국내물질소비량(톤),석유,2.08034
2011,1인당 국내물질소비량(톤),RAW,15.82427
2011,1인당 국내물질소비량(톤),자연수확,0.04992
2011,1인당 국내물질소비량(톤),나무,0.18084
2012,1인당 국내물질소비량(톤),바이오매스,1.55586
2012,1인당 국내물질소비량(톤),석탄,2.537
2012,1인당 국내물질소비량(톤),작물잔해,0.11243
2012,1인당 국내물질소비량(톤),작물,0.88676
2012,1인당 국내물질소비량(톤),철광석,1.2144
2012,1인당 국내물질소비량(톤),화석연료,5.423
2012,1인당 국내물질소비량(톤),천연가스,0.74007
2012,1인당 국내물질소비량(톤),사료작물,0.32886
2012,1인당 국내물질소비량(톤),금속광석,1.41586
2012,1인당 국내물질소비량(톤),비금속광석,1.2144
2012,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.22825
2012,1인당 국내물질소비량(톤),건설 비금속광물,3.31667
2012,1인당 국내물질소비량(톤),비급속광물,3.35671
2012,1인당 국내물질소비량(톤),석유,2.14593
2012,1인당 국내물질소비량(톤),RAW,11.75143
2012,1인당 국내물질소비량(톤),자연수확,0.04534
2012,1인당 국내물질소비량(톤),나무,0.16533
2013,1인당 국내물질소비량(톤),바이오매스,1.54801
2013,1인당 국내물질소비량(톤),석탄,2.56504
2013,1인당 국내물질소비량(톤),작물잔해,0.11745
2013,1인당 국내물질소비량(톤),작물,0.89999
2013,1인당 국내물질소비량(톤),철광석,1.14815
2013,1인당 국내물질소비량(톤),화석연료,5.50926
2013,1인당 국내물질소비량(톤),천연가스,0.81932
2013,1인당 국내물질소비량(톤),사료작물,0.31566
2013,1인당 국내물질소비량(톤),금속광석,1.36536
2013,1인당 국내물질소비량(톤),비금속광석,1.14815
2013,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.245
2013,1인당 국내물질소비량(톤),건설 비금속광물,3.1153
2013,1인당 국내물질소비량(톤),비급속광물,3.16565
2013,1인당 국내물질소비량(톤),석유,2.12491
2013,1인당 국내물질소비량(톤),RAW,11.58828
2013,1인당 국내물질소비량(톤),자연수확,0.04245
2013,1인당 국내물질소비량(톤),나무,0.15129
2014,1인당 국내물질소비량(톤),바이오매스,1.53195
2014,1인당 국내물질소비량(톤),석탄,2.64332
2014,1인당 국내물질소비량(톤),작물잔해,0.11587
2014,1인당 국내물질소비량(톤),작물,0.91721
2014,1인당 국내물질소비량(톤),철광석,1.32846
2014,1인당 국내물질소비량(톤),화석연료,5.51559
2014,1인당 국내물질소비량(톤),천연가스,0.75173
2014,1인당 국내물질소비량(톤),사료작물,0.30221
2014,1인당 국내물질소비량(톤),금속광석,1.55141
2014,1인당 국내물질소비량(톤),비금속광석,1.32846
2014,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24112
2014,1인당 국내물질소비량(톤),건설 비금속광물,3.06544
2014,1인당 국내물질소비량(톤),비급속광물,3.10512
2014,1인당 국내물질소비량(톤),석유,2.12055
2014,1인당 국내물질소비량(톤),RAW,11.70408
2014,1인당 국내물질소비량(톤),자연수확,0.04588
2014,1인당 국내물질소비량(톤),나무,0.14922
2015,1인당 국내물질소비량(톤),바이오매스,1.5306
2015,1인당 국내물질소비량(톤),석탄,2.71253
2015,1인당 국내물질소비량(톤),작물잔해,0.11333
2015,1인당 국내물질소비량(톤),작물,0.915
2015,1인당 국내물질소비량(톤),철광석,1.347
2015,1인당 국내물질소비량(톤),화석연료,5.67288
2015,1인당 국내물질소비량(톤),천연가스,0.66095
2015,1인당 국내물질소비량(톤),사료작물,0.30472
2015,1인당 국내물질소비량(톤),금속광석,1.57592
2015,1인당 국내물질소비량(톤),비금속광석,1.347
2015,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24073
2015,1인당 국내물질소비량(톤),건설 비금속광물,2.64887
2015,1인당 국내물질소비량(톤),비급속광물,2.68194
2015,1인당 국내물질소비량(톤),석유,2.2994
2015,1인당 국내물질소비량(톤),RAW,11.46134
2015,1인당 국내물질소비량(톤),자연수확,0.04544
2015,1인당 국내물질소비량(톤),나무,0.15093
2016,1인당 국내물질소비량(톤),바이오매스,1.52772
2016,1인당 국내물질소비량(톤),석탄,2.80713
2016,1인당 국내물질소비량(톤),작물잔해,0.11083
2016,1인당 국내물질소비량(톤),작물,0.91261
2016,1인당 국내물질소비량(톤),철광석,1.36565
2016,1인당 국내물질소비량(톤),화석연료,5.79798
2016,1인당 국내물질소비량(톤),천연가스,0.69059
2016,1인당 국내물질소비량(톤),사료작물,0.30726
2016,1인당 국내물질소비량(톤),금속광석,1.60055
2016,1인당 국내물질소비량(톤),비금속광석,1.36565
2016,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24047
2016,1인당 국내물질소비량(톤),건설 비금속광물,2.23615
2016,1인당 국내물질소비량(톤),비급속광물,2.26275
2016,1인당 국내물질소비량(톤),석유,2.30027
2016,1인당 국내물질소비량(톤),RAW,11.18899
2016,1인당 국내물질소비량(톤),자연수확,0.04502
2016,1인당 국내물질소비량(톤),나무,0.15082
2017,1인당 국내물질소비량(톤),바이오매스,1.5251
2017,1인당 국내물질소비량(톤),석탄,2.90144
2017,1인당 국내물질소비량(톤),작물잔해,0.10837
2017,1인당 국내물질소비량(톤),작물,0.91155
2017,1인당 국내물질소비량(톤),철광석,1.38437
2017,1인당 국내물질소비량(톤),화석연료,5.92303
2017,1인당 국내물질소비량(톤),천연가스,0.72011
2017,1인당 국내물질소비량(톤),사료작물,0.30983
2017,1인당 국내물질소비량(톤),금속광석,1.62523
2017,1인당 국내물질소비량(톤),비금속광석,1.38437
2017,1인당 국내물질소비량(톤),산업/농업 비금속광물,0.24025
2017,1인당 국내물질소비량(톤),건설 비금속광물,2.2228
2017,1인당 국내물질소비량(톤),비급속광물,2.24298
2017,1인당 국내물질소비량(톤),석유,2.30149
2017,1인당 국내물질소비량(톤),RAW,11.31634
2017,1인당 국내물질소비량(톤),자연수확,0.04461
2017,1인당 국내물질소비량(톤),나무,0.15074
2000,GDP당 국내물질소비량(kg/USD),바이오매스,0.1103
2000,GDP당 국내물질소비량(kg/USD),석탄,0.10309
2000,GDP당 국내물질소비량(kg/USD),작물잔해,0.01018
2000,GDP당 국내물질소비량(kg/USD),작물,0.06129
2000,GDP당 국내물질소비량(kg/USD),철광석,0.06176
2000,GDP당 국내물질소비량(kg/USD),화석연료,0.27412
2000,GDP당 국내물질소비량(kg/USD),천연가스,0.02056
2000,GDP당 국내물질소비량(kg/USD),사료작물,0.02313
2000,GDP당 국내물질소비량(kg/USD),금속광석,0.07101
2000,GDP당 국내물질소비량(kg/USD),비금속광석,0.06176
2000,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01668
2000,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.59108
2000,GDP당 국내물질소비량(kg/USD),비급속광물,0.59538
2000,GDP당 국내물질소비량(kg/USD),석유,0.15048
2000,GDP당 국내물질소비량(kg/USD),RAW,1.05081
2000,GDP당 국내물질소비량(kg/USD),자연수확,0.00289
2000,GDP당 국내물질소비량(kg/USD),나무,0.01062
2001,GDP당 국내물질소비량(kg/USD),바이오매스,0.10413
2001,GDP당 국내물질소비량(kg/USD),석탄,0.09973
2001,GDP당 국내물질소비량(kg/USD),작물잔해,0.01002
2001,GDP당 국내물질소비량(kg/USD),작물,0.06072
2001,GDP당 국내물질소비량(kg/USD),철광석,0.06595
2001,GDP당 국내물질소비량(kg/USD),화석연료,0.26089
2001,GDP당 국내물질소비량(kg/USD),천연가스,0.02179
2001,GDP당 국내물질소비량(kg/USD),사료작물,0.01824
2001,GDP당 국내물질소비량(kg/USD),금속광석,0.07475
2001,GDP당 국내물질소비량(kg/USD),비금속광석,0.06595
2001,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01484
2001,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.59529
2001,GDP당 국내물질소비량(kg/USD),비급속광물,0.60228
2001,GDP당 국내물질소비량(kg/USD),석유,0.13938
2001,GDP당 국내물질소비량(kg/USD),RAW,1.04205
2001,GDP당 국내물질소비량(kg/USD),자연수확,0.00355
2001,GDP당 국내물질소비량(kg/USD),나무,0.01074
2002,GDP당 국내물질소비량(kg/USD),바이오매스,0.09404
2002,GDP당 국내물질소비량(kg/USD),석탄,0.09446
2002,GDP당 국내물질소비량(kg/USD),작물잔해,0.00862
2002,GDP당 국내물질소비량(kg/USD),작물,0.05732
2002,GDP당 국내물질소비량(kg/USD),철광석,0.0641
2002,GDP당 국내물질소비량(kg/USD),화석연료,0.2467
2002,GDP당 국내물질소비량(kg/USD),천연가스,0.02237
2002,GDP당 국내물질소비량(kg/USD),사료작물,0.01626
2002,GDP당 국내물질소비량(kg/USD),금속광석,0.07262
2002,GDP당 국내물질소비량(kg/USD),비금속광석,0.0641
2002,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01591
2002,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.56311
2002,GDP당 국내물질소비량(kg/USD),비급속광물,0.57456
2002,GDP당 국내물질소비량(kg/USD),석유,0.12987
2002,GDP당 국내물질소비량(kg/USD),RAW,0.98792
2002,GDP당 국내물질소비량(kg/USD),자연수확,0.00309
2002,GDP당 국내물질소비량(kg/USD),나무,0.01031
2003,GDP당 국내물질소비량(kg/USD),바이오매스,0.08622
2003,GDP당 국내물질소비량(kg/USD),석탄,0.09398
2003,GDP당 국내물질소비량(kg/USD),작물잔해,0.00743
2003,GDP당 국내물질소비량(kg/USD),작물,0.05416
2003,GDP당 국내물질소비량(kg/USD),철광석,0.06077
2003,GDP당 국내물질소비량(kg/USD),화석연료,0.24602
2003,GDP당 국내물질소비량(kg/USD),천연가스,0.02369
2003,GDP당 국내물질소비량(kg/USD),사료작물,0.01436
2003,GDP당 국내물질소비량(kg/USD),금속광석,0.06929
2003,GDP당 국내물질소비량(kg/USD),비금속광석,0.06077
2003,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01451
2003,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.60097
2003,GDP당 국내물질소비량(kg/USD),비급속광물,0.61159
2003,GDP당 국내물질소비량(kg/USD),석유,0.12835
2003,GDP당 국내물질소비량(kg/USD),RAW,1.01311
2003,GDP당 국내물질소비량(kg/USD),자연수확,0.00303
2003,GDP당 국내물질소비량(kg/USD),나무,0.00867
2004,GDP당 국내물질소비량(kg/USD),바이오매스,0.08521
2004,GDP당 국내물질소비량(kg/USD),석탄,0.09623
2004,GDP당 국내물질소비량(kg/USD),작물잔해,0.00805
2004,GDP당 국내물질소비량(kg/USD),작물,0.05028
2004,GDP당 국내물질소비량(kg/USD),철광석,0.06151
2004,GDP당 국내물질소비량(kg/USD),화석연료,0.2435
2004,GDP당 국내물질소비량(kg/USD),천연가스,0.02574
2004,GDP당 국내물질소비량(kg/USD),사료작물,0.0135
2004,GDP당 국내물질소비량(kg/USD),금속광석,0.06978
2004,GDP당 국내물질소비량(kg/USD),비금속광석,0.06151
2004,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01364
2004,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.54709
2004,GDP당 국내물질소비량(kg/USD),비급속광물,0.55583
2004,GDP당 국내물질소비량(kg/USD),석유,0.12153
2004,GDP당 국내물질소비량(kg/USD),RAW,0.95432
2004,GDP당 국내물질소비량(kg/USD),자연수확,0.00288
