Year,Units,data.Type_of_product,Value
2011,data.Tonnes_per_capita,data.GBO,0.30422
2011,data.Tonnes_per_capita,data.MEO,1.44215
2011,data.Tonnes_per_capita,data.NFO,1.25183
2011,data.Tonnes_per_capita,data.NMA,0.23126
2011,data.Tonnes_per_capita,data.NMC,7.36645
2011,data.Tonnes_per_capita,data.NMM,7.38805
2011,data.Tonnes_per_capita,data.PET,2.08034
2011,data.Tonnes_per_capita,data.RAW,15.82427
2011,data.Tonnes_per_capita,data.WCH,0.04992
2011,data.Tonnes_per_capita,data.WOD,0.18084
2012,data.Tonnes_per_capita,data.BIM,1.55586
2012,data.Tonnes_per_capita,data.COL,2.537
2012,data.Tonnes_per_capita,data.CPR,0.11243
2012,data.Tonnes_per_capita,data.CRO,0.88676
2012,data.Tonnes_per_capita,data.FEO,1.2144
2012,data.Tonnes_per_capita,data.FOF,5.423
2012,data.Tonnes_per_capita,data.GAS,0.74007
2012,data.Tonnes_per_capita,data.GBO,0.32886
2012,data.Tonnes_per_capita,data.MEO,1.41586
2012,data.Tonnes_per_capita,data.NFO,1.2144
2012,data.Tonnes_per_capita,data.NMA,0.22825
2012,data.Tonnes_per_capita,data.NMC,3.31667
2012,data.Tonnes_per_capita,data.NMM,3.35671
2012,data.Tonnes_per_capita,data.PET,2.14593
2012,data.Tonnes_per_capita,data.RAW,11.75143
2012,data.Tonnes_per_capita,data.WCH,0.04534
2012,data.Tonnes_per_capita,data.WOD,0.16533
2013,data.Tonnes_per_capita,data.BIM,1.54801
2013,data.Tonnes_per_capita,data.COL,2.56504
2013,data.Tonnes_per_capita,data.CPR,0.11745
2013,data.Tonnes_per_capita,data.CRO,0.89999
2013,data.Tonnes_per_capita,data.FEO,1.14815
2013,data.Tonnes_per_capita,data.FOF,5.50926
2013,data.Tonnes_per_capita,data.GAS,0.81932
2013,data.Tonnes_per_capita,data.GBO,0.31566
2013,data.Tonnes_per_capita,data.MEO,1.36536
2013,data.Tonnes_per_capita,data.NFO,1.14815
2013,data.Tonnes_per_capita,data.NMA,0.245
2013,data.Tonnes_per_capita,data.NMC,3.1153
2013,data.Tonnes_per_capita,data.NMM,3.16565
2013,data.Tonnes_per_capita,data.PET,2.12491
2013,data.Tonnes_per_capita,data.RAW,11.58828
2013,data.Tonnes_per_capita,data.WCH,0.04245
2013,data.Tonnes_per_capita,data.WOD,0.15129
2014,data.Tonnes_per_capita,data.BIM,1.53195
2014,data.Tonnes_per_capita,data.COL,2.64332
2014,data.Tonnes_per_capita,data.CPR,0.11587
2014,data.Tonnes_per_capita,data.CRO,0.91721
2014,data.Tonnes_per_capita,data.FEO,1.32846
2014,data.Tonnes_per_capita,data.FOF,5.51559
2014,data.Tonnes_per_capita,data.GAS,0.75173
2014,data.Tonnes_per_capita,data.GBO,0.30221
2014,data.Tonnes_per_capita,data.MEO,1.55141
2014,data.Tonnes_per_capita,data.NFO,1.32846
2014,data.Tonnes_per_capita,data.NMA,0.24112
2014,data.Tonnes_per_capita,data.NMC,3.06544
2014,data.Tonnes_per_capita,data.NMM,3.10512
2014,data.Tonnes_per_capita,data.PET,2.12055
2014,data.Tonnes_per_capita,data.RAW,11.70408
2014,data.Tonnes_per_capita,data.WCH,0.04588
