Year,Value,Units
2012,2.8439,data.G3_Non-performing_loans_net_of_provisions_to_capital
2013,3.2335,data.G3_Non-performing_loans_net_of_provisions_to_capital
2014,2.5253,data.G3_Non-performing_loans_net_of_provisions_to_capital
2015,1.9654,data.G3_Non-performing_loans_net_of_provisions_to_capital
2016,1.898,data.G3_Non-performing_loans_net_of_provisions_to_capital
2017,1.5099,data.G3_Non-performing_loans_net_of_provisions_to_capital
2018,1.1706,data.G3_Non-performing_loans_net_of_provisions_to_capital
2019,1.1097,data.G3_Non-performing_loans_net_of_provisions_to_capital
2020,1.1305,data.G3_Non-performing_loans_net_of_provisions_to_capital
2008,9.6051,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2009,11.5122,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2010,12.096,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2011,11.6016,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2012,11.5967,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2013,11.853,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2014,11.7234,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2015,11.6941,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2016,13.1146,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2017,13.8411,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2018,13.9889,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2019,13.9779,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2020,15.107,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets
2008,101.37096,data.G6_Liquid_assets_to_short_term_liabilities
2009,103.93085,data.G6_Liquid_assets_to_short_term_liabilities
2010,117.46817,data.G6_Liquid_assets_to_short_term_liabilities
2011,109.33702,data.G6_Liquid_assets_to_short_term_liabilities
2012,111.34206,data.G6_Liquid_assets_to_short_term_liabilities
2013,107.87426,data.G6_Liquid_assets_to_short_term_liabilities
2014,121.98002,data.G6_Liquid_assets_to_short_term_liabilities
2015,104.95577,data.G6_Liquid_assets_to_short_term_liabilities
2016,102.59449,data.G6_Liquid_assets_to_short_term_liabilities
2017,101.2468,data.G6_Liquid_assets_to_short_term_liabilities
2018,114.4857,data.G6_Liquid_assets_to_short_term_liabilities
2019,109.96364,data.G6_Liquid_assets_to_short_term_liabilities
2020,102.1849,data.G6_Liquid_assets_to_short_term_liabilities
2008,1.8752,data.G7_Net_open_position_in_foreign_exchange_to_capital
2009,2.911,data.G7_Net_open_position_in_foreign_exchange_to_capital
2010,0.93766,data.G7_Net_open_position_in_foreign_exchange_to_capital
2011,0.93475,data.G7_Net_open_position_in_foreign_exchange_to_capital
2012,0.15454,data.G7_Net_open_position_in_foreign_exchange_to_capital
2013,-0.1504,data.G7_Net_open_position_in_foreign_exchange_to_capital
2014,0.4656,data.G7_Net_open_position_in_foreign_exchange_to_capital
2015,-0.04185,data.G7_Net_open_position_in_foreign_exchange_to_capital
2016,0.01914,data.G7_Net_open_position_in_foreign_exchange_to_capital
2017,-0.9807,data.G7_Net_open_position_in_foreign_exchange_to_capital
2018,0.04103,data.G7_Net_open_position_in_foreign_exchange_to_capital
2019,0.10735,data.G7_Net_open_position_in_foreign_exchange_to_capital
2020,-0.0206,data.G7_Net_open_position_in_foreign_exchange_to_capital
